client_id,entity_type,entity_year_established
992,Individual/Sole Trader,2015
993,Individual/Sole Trader,2015
994,Australian Private Company,2012
995,Australian Private Company,2013
996,Australian Private Company,2013
997,Australian Private Company,2014
998,Individual/Sole Trader,2001
999,Individual/Sole Trader,2016
1000,Individual/Sole Trader,2016
1001,Australian Private Company,2015
1002,Australian Private Company,2016
1003,Individual/Sole Trader,2002
1004,Australian Private Company,2000
1005,Australian Private Company,2000
1006,Australian Private Company,2003
1007,Australian Private Company,2007
1008,Australian Private Company,2010
1009,Individual/Sole Trader,2011
1010,Individual/Sole Trader,2009
1011,Australian Private Company,2015
1012,Australian Private Company,2016
1013,Australian Private Company,2016
1014,Australian Private Company,2017
1015,Australian Private Company,2003
1016,Australian Private Company,2005
1017,Australian Private Company,2005
1018,Australian Private Company,2007
1019,Individual/Sole Trader,2001
1020,Australian Private Company,2014
1021,Australian Private Company,2003
1022,Australian Private Company,2003
1023,Australian Private Company,2008
1024,Australian Private Company,2010
1025,Australian Private Company,2014
1026,Individual/Sole Trader,2013
1027,Individual/Sole Trader,2004
1028,Australian Private Company,2014
1029,Australian Private Company,2014
1030,Australian Private Company,2015
1031,Australian Private Company,2016
1032,Family Partnership,2004
1033,Individual/Sole Trader,2017
1034,Australian Private Company,2018
1035,Australian Private Company,2000
1036,Australian Private Company,2003
1037,Australian Private Company,2018
1038,Individual/Sole Trader,2004
1039,Australian Private Company,2008
1040,Australian Private Company,2010
1041,Individual/Sole Trader,2013
1042,Individual/Sole Trader,2008
1043,Individual/Sole Trader,2005
1044,Australian Private Company,2016
1045,Australian Private Company,2017
1046,Individual/Sole Trader,2004
1047,Family Partnership,2010
1048,Australian Private Company,2000
1049,Australian Private Company,2008
1050,Australian Private Company,2008
1051,Australian Private Company,2011
1052,Individual/Sole Trader,2017
1053,Individual/Sole Trader,2014
1054,Individual/Sole Trader,2002
1055,Individual/Sole Trader,2012
1056,Other Partnership,2000
1057,Individual/Sole Trader,2000
1058,Australian Private Company,2004
1059,Individual/Sole Trader,2017
1060,Australian Private Company,2013
1061,Individual/Sole Trader,2016
1062,Individual/Sole Trader,2016
1063,Individual/Sole Trader,2013
1064,Australian Private Company,2015
1065,Australian Private Company,2000
1066,Australian Private Company,2004
1067,Australian Private Company,2000
1068,Australian Private Company,2001
1069,Australian Private Company,2010
1070,Individual/Sole Trader,2007
1071,Australian Private Company,2007
1072,Australian Private Company,2010
1073,Australian Private Company,2011
1074,Individual/Sole Trader,2012
1075,Individual/Sole Trader,2001
1076,Discretionary Trading Trust,2013
1077,Australian Private Company,2016
1078,Individual/Sole Trader,1999
1079,Australian Private Company,2000
1080,Australian Private Company,2005
1081,Australian Private Company,2010
1082,Australian Private Company,2011
1083,Individual/Sole Trader,2005
1084,Individual/Sole Trader,2005
1085,Individual/Sole Trader,2010
1086,Individual/Sole Trader,2000
1087,Australian Private Company,2000
1088,Individual/Sole Trader,2000
1089,Australian Private Company,1999
1090,Australian Private Company,2015
1091,Australian Private Company,2004
1092,Australian Private Company,2005
1093,Australian Private Company,2010
1094,Australian Private Company,2011
1095,Other Partnership,2011
1096,Individual/Sole Trader,2000
1097,Individual/Sole Trader,2006
1098,Individual/Sole Trader,2017
1099,Australian Private Company,2014
1100,Australian Private Company,2015
1101,Australian Private Company,2015
1102,Family Partnership,2000
1103,Individual/Sole Trader,2006
1104,Family Partnership,2017
1105,Australian Private Company,2000
1106,Australian Private Company,2000
1107,Australian Private Company,2001
1108,Australian Private Company,2010
1109,Australian Private Company,2011
1110,Individual/Sole Trader,2010
1111,Australian Private Company,2016
1112,Australian Private Company,2017
1113,Individual/Sole Trader,2013
1114,Individual/Sole Trader,2009
1115,Australian Private Company,1999
1116,Australian Private Company,2005
1117,Individual/Sole Trader,2009
1118,Individual/Sole Trader,2009
1119,Australian Private Company,2012
1120,Australian Private Company,2013
1121,Individual/Sole Trader,2011
1122,Individual/Sole Trader,2011
1123,Individual/Sole Trader,2007
1124,Australian Private Company,2015
1125,Individual/Sole Trader,2008
1126,Australian Private Company,2005
1127,Individual/Sole Trader,2015
1128,Australian Private Company,2008
1129,Australian Private Company,2009
1130,Australian Private Company,2010
1131,Australian Private Company,2013
1132,Individual/Sole Trader,2006
1133,Individual/Sole Trader,2001
1134,Australian Private Company,2015
1135,Australian Private Company,2015
1136,Individual/Sole Trader,2011
1137,Australian Private Company,2000
1138,Individual/Sole Trader,2017
1139,Individual/Sole Trader,2014
1140,Australian Private Company,2017
1141,Australian Private Company,2010
1142,Individual/Sole Trader,2000
1143,Individual/Sole Trader,2017
1144,Individual/Sole Trader,2009
1145,Individual/Sole Trader,2010
1146,Individual/Sole Trader,2014
1147,Individual/Sole Trader,2013
1148,Australian Private Company,2014
1149,Individual/Sole Trader,2013
1150,Individual/Sole Trader,2000
1151,Individual/Sole Trader,2012
1152,Australian Private Company,2017
1153,Individual/Sole Trader,2009
1154,Australian Private Company,2001
1155,Australian Private Company,2016
1156,Individual/Sole Trader,2012
1157,Individual/Sole Trader,2002
1158,Australian Private Company,2000
1159,Australian Private Company,2013
1160,Individual/Sole Trader,2011
1161,Australian Private Company,2004
1162,Australian Private Company,2012
1163,Australian Private Company,2015
1164,Australian Private Company,2008
1165,Individual/Sole Trader,2012
1166,Individual/Sole Trader,2014
1167,Australian Private Company,2014
1168,Individual/Sole Trader,2000
1169,Family Partnership,2000
1170,Individual/Sole Trader,2013
1171,Australian Private Company,2013
1172,Australian Private Company,2013
1173,Individual/Sole Trader,2007
1174,Australian Private Company,2014
1175,Individual/Sole Trader,2010
1176,Individual/Sole Trader,2013
1177,Australian Private Company,2016
1178,Individual/Sole Trader,2016
1179,Australian Private Company,2000
1180,Individual/Sole Trader,2015
1181,Australian Private Company,2014
1182,Individual/Sole Trader,2017
1183,Individual/Sole Trader,2001
1184,Australian Private Company,2016
1185,Australian Private Company,2017
1186,Australian Private Company,2012
1187,Australian Private Company,2014
1188,Australian Private Company,2004
1189,Australian Private Company,2013
1190,Australian Private Company,2014
1191,Australian Private Company,2010
1192,Australian Private Company,2008
1193,Australian Private Company,2013
1194,Australian Private Company,2011
1195,Discretionary Investment Trust,2015
1196,Australian Private Company,2014
1197,Australian Private Company,2012
1198,Individual/Sole Trader,2018
1199,Australian Private Company,2016
1200,Individual/Sole Trader,2012
1201,Australian Private Company,2015
1202,Australian Private Company,2017
1203,Individual/Sole Trader,2018
1204,Australian Private Company,2010
1205,Australian Private Company,2003
1206,Australian Private Company,2006
1207,Australian Private Company,2000
1208,Australian Private Company,2003
1209,Individual/Sole Trader,2011
1210,Australian Private Company,2016
1211,Australian Private Company,1999
1212,Individual/Sole Trader,2016
1213,Australian Private Company,2016
1214,Individual/Sole Trader,2012
1215,Individual/Sole Trader,2000
1216,Individual/Sole Trader,2000
1217,Australian Private Company,2000
1218,Australian Private Company,2009
1219,Fixed Unit Trust,2013
1220,Fixed Unit Trust,2010
1221,Australian Private Company,2000
1222,Discretionary Trading Trust,2007
1223,Australian Private Company,2015
1224,Australian Private Company,2006
1225,Discretionary Trading Trust,2016
1226,Australian Private Company,2000
1227,Australian Private Company,2000
1228,Australian Private Company,2017
1229,Individual/Sole Trader,2013
1230,Australian Private Company,2017
1231,Australian Private Company,2017
1232,Individual/Sole Trader,2012
1233,Australian Private Company,2013
1234,Australian Private Company,2008
1235,Australian Private Company,2014
1236,Australian Private Company,2013
1237,Individual/Sole Trader,2018
1238,Individual/Sole Trader,2015
1239,Individual/Sole Trader,2017
1240,Australian Private Company,2008
1241,Australian Private Company,2016
1242,Individual/Sole Trader,2011
1243,Individual/Sole Trader,2015
1244,Australian Private Company,2017
1245,Family Partnership,2015
1246,Australian Private Company,2015
1247,Australian Private Company,2009
1248,Family Partnership,2015
1249,Australian Private Company,2008
1250,Australian Private Company,2000
1251,Australian Private Company,2014
1252,Australian Private Company,2014
1253,Australian Private Company,2000
1254,Australian Private Company,2011
1255,Discretionary Trading Trust,2012
1256,Individual/Sole Trader,2007
1257,Family Partnership,2017
1258,Individual/Sole Trader,2016
1259,Australian Private Company,2003
1260,Australian Private Company,2016
1261,Australian Private Company,2017
1262,Australian Private Company,2016
1263,Australian Private Company,2017
1264,Australian Private Company,2015
1265,Australian Private Company,2015
1266,Australian Private Company,2001
1267,Australian Private Company,2006
1268,Australian Private Company,2003
1269,Australian Private Company,2000
1270,Australian Private Company,2000
1271,Individual/Sole Trader,2000
1272,Australian Private Company,2000
1273,Individual/Sole Trader,2015
1274,Discretionary Trading Trust,2011
1275,Australian Private Company,2004
1276,Australian Private Company,2014
1277,Individual/Sole Trader,2004
1278,Fixed Unit Trust,2007
1279,Discretionary Trading Trust,2017
1280,Australian Private Company,2016
1281,Australian Private Company,2012
